INFO   | 2025-06-17 11:07:05 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:07:05 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:07:06 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:07:06 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:07:09 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:07:09 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:33 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:33 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:36 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:36 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:37 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:37 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:37 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:37 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:38 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:38 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:38 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:38 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:39 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 11:09:40 | app.routers.notes    | 81 | GET /note - Retrieve all notes of a user
INFO   | 2025-06-17 11:09:40 | app.routers.notes    | 87 | Displayed!!
INFO   | 2025-06-17 12:57:11 | app.routers.notes    | 29 | POST /note - Create new note
INFO   | 2025-06-17 12:57:11 | app.routers.notes    | 55 | Created!!
